,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,8,0,4,3,0,0,0,0,0,0,0,0,5,7,9,0,0,0,0,0,0,0,0,2,0,1,0,0,16,10,0,0,7,0,0,0,8,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,6
1,6,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,4,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,10,7,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,0,4,0,1,0,0,6,7,0,4,13,0,0,0,5,2,3,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0
4,4,0,2,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,4,0,1,0,0,6,3,0,0,14,0,0,0,5,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
5,4,0,2,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,4,0,1,0,0,6,3,0,0,14,0,0,0,5,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
6,3,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,0,1,0,0,7,0,0,0,7,0,0,0,3,4,2,1,1,0,0,0,0,3,1,1,0,0,0,0,0,4
7,3,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,2,0,2,0,0,12,3,0,0,5,0,0,0,3,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3
8,5,0,2,0,0,0,0,0,0,0,0,0,2,2,13,0,0,0,0,0,0,0,0,2,0,2,0,0,6,4,0,0,10,0,0,0,1,3,4,0,1,0,0,0,0,3,0,1,1,0,0,0,0,3
9,4,0,4,3,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,1,0,0,0,2,0,1,0,0,11,5,0,1,8,0,0,0,3,1,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,3
10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,3,0,0,0,0,26,3,0,0,6,0,0,0,2,4,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,1
11,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4
12,8,0,2,4,0,0,0,0,0,0,0,0,2,5,11,0,0,0,0,0,0,0,0,2,0,4,0,0,24,3,0,0,15,0,0,0,6,0,0,1,3,0,0,0,0,3,0,0,1,0,0,0,0,4
13,14,0,0,3,0,0,0,0,1,0,0,1,1,2,10,0,0,0,0,0,0,0,0,2,0,1,0,0,8,1,0,0,16,0,0,0,4,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
14,6,0,4,1,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4
15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5
16,4,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,3,0,2,1,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,2,0,1,0,0,2,6,0,0,6,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18,11,2,1,5,0,0,0,0,0,0,0,0,1,9,17,0,0,0,0,0,0,0,0,4,0,3,0,0,21,15,0,0,26,0,1,0,8,5,7,0,2,0,0,0,0,3,0,0,1,0,0,0,0,10
19,2,0,1,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,7,0,0,0,2,2,3,1,2,0,0,0,0,3,0,0,1,0,0,0,0,3
20,11,0,9,2,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,2,0,7,0,0,5,9,0,0,17,2,1,0,4,5,4,3,3,0,0,0,0,6,0,0,0,0,0,0,0,6
21,1,0,1,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,3,0,3,0,0,1,3,0,0,6,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,4,0,2,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,4,0,1,0,0,6,3,0,0,14,0,0,0,5,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
23,6,0,6,3,0,0,0,0,1,0,0,1,0,3,7,0,0,0,0,0,0,2,1,2,0,3,0,0,17,12,0,0,16,0,0,0,1,2,4,1,0,0,0,0,0,4,0,1,1,0,0,0,0,5
24,1,0,1,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
25,8,0,5,4,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,2,0,1,0,0,14,5,0,0,10,0,0,0,5,0,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,1
26,2,0,4,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,4,0,3,0,0,10,9,0,0,10,0,0,0,8,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,4
27,7,0,3,1,0,0,0,0,0,0,0,1,4,5,10,0,0,0,0,0,0,0,0,2,0,2,0,0,14,7,0,0,13,0,0,0,2,4,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,3
28,4,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,9,8,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1
29,6,0,0,0,0,0,1,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,2,0,3,0,0,7,1,0,0,6,0,0,0,8,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30,11,0,1,3,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,2,0,4,1,0,16,2,0,3,12,0,0,0,10,3,2,6,1,0,0,0,0,4,2,0,1,0,0,0,0,3
31,11,0,1,3,0,0,0,0,0,0,0,2,0,2,10,0,0,0,0,1,0,0,0,2,0,5,1,0,18,2,0,4,12,0,0,0,12,3,3,5,2,0,0,0,0,4,2,0,2,0,0,0,0,4
